ID,country,date
EPI_ISL_11761611|hCoV-19/Liberia/NMIMR-LIB-865998/2021,Liberia,2021-12-27
EPI_ISL_11761619|hCoV-19/Liberia/NMIMR-LIB-860077/2021,Liberia,2021-12-21
EPI_ISL_11761623|hCoV-19/Liberia/NMIMR-LIB-867515/2021,Liberia,2021-12-21
EPI_ISL_11761626|hCoV-19/Liberia/NMIMR-LIB-860944/2021,Liberia,2021-12-27
EPI_ISL_11761629|hCoV-19/Liberia/NMIMR-LIB-854571/2021,Liberia,2021-12-14
EPI_ISL_3547685|hCoV-19/Liberia/LIB-0073/2021,Liberia,2021-07-08
EPI_ISL_3547686|hCoV-19/Liberia/LIB-0074/2021,Liberia,2021-07-08
EPI_ISL_3547687|hCoV-19/Liberia/LIB-0076/2021,Liberia,2021-07-08
EPI_ISL_3547688|hCoV-19/Liberia/LIB-0078/2021,Liberia,2021-07-08
EPI_ISL_3547689|hCoV-19/Liberia/LIB-0084/2021,Liberia,2021-07-09
EPI_ISL_3547690|hCoV-19/Liberia/LIB-0085/2021,Liberia,2021-07-09
EPI_ISL_3547691|hCoV-19/Liberia/LIB-0094/2021,Liberia,2021-07-10
EPI_ISL_3560291|hCoV-19/Liberia/LIB-0093/2021,Liberia,2021-07-08
